[2025-10-17 17:26:29,350] INFO [Controller id=0 epoch=4] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2025-10-17 17:28:34,581] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,585] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,587] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,591] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,595] INFO [Broker id=0] Leader creditcard_application-1 with topic id Some(DRbN0mzBRq6_A9YRedHmnA) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,595] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,599] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,601] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,603] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,607] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,611] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,615] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,618] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,622] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,626] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,628] INFO [Broker id=0] Leader tp_bankingapp-1 with topic id Some(20zlnzozS8KZBM2GMdb-Jw) starts at leader epoch 0 from offset 6 with partition epoch 0, high watermark 6, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,628] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,631] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,633] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,637] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,639] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 23 with partition epoch 0, high watermark 23, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,639] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,643] INFO [Broker id=0] Leader tp_bankingapp-2 with topic id Some(20zlnzozS8KZBM2GMdb-Jw) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,643] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,647] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,651] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,663] INFO [Broker id=0] Finished LeaderAndIsr request in 197ms correlationId 1 from controller 0 for 56 partitions (state.change.logger)
[2025-10-17 17:28:34,669] INFO [Broker id=0] Add 56 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 5 with correlation id 2 (state.change.logger)
